другой: другого другому
полученные: полученные
пухоеды: пухоеды
прокормителя: прокормителя
палеоэнтомологии: палеоэнтомологии
петля: петли
американский: американские
бирмита: бирмита
зуб: зубов
сто: сто
постепенный: постепенно
непонятный: непонятно
архименопонам: архименопонам
пригоршня: пригоршни
усыпан: усыпан
бинокуляром: бинокуляром
узнать: узнаем
вполне: вполне
пересчитать: пересчитать
неделя: неделями
каменный: каменных
личинка: личинками личинки
кормовой: кормового
тот: той
остаться: останется
прикрепленные: прикрепленные
кошка: кошки
находиться: находится
приклеены: приклеены
бирманский: бирманского бирманском
реконструкция: реконструкция
принадлежность: принадлежность
тип: тип
насекомое: насекомые насекомых насекомыми
бог: богу
увы: увы
повторный: повторное
размещаться: размещается
боком: боком
свой: свой своими
крыса: крысы
известный: известен
мнение: мнению
либо: либо
остап: остап
спустя: спустя
часы: часов
осадки: осадками
изначальный: изначально
палеоэнтомологи: палеоэнтомологи
маленькая: маленькими
ранний: раннего
рахис: рахис
бендер: бендер
лист: листьев
сообщить: сообщили
остальное: остальные
находить: находили
мировой: мировой
малоподвижность: малоподвижность
внимание: внимание
строение: строение строению
присутствовать: присутствует
фраза: фраза
летопись: летопись
равнокрылых: равнокрылых
найденное: найденное
мандибулы: мандибулы
мезофтирусами: мезофтирусами
гигантский: гигантский
бирмите: бирмите
обычный: обычных
тлеть: тлей
жить: живут
реальность: реальность
откусывать: откусывают
создание: созданий
окрестить: окрестили
крепить: крепят
сохраняться: сохраняются
подряд: подряд
уличный: уличные
целиком: целиком
мандибул: мандибул
ковёр: ковре
янтарь: янтаря янтаре янтарях
ось: ось
одежда: одежде
смотреть: смотрите
случай: случае
двухсантиметровый: двухсантиметровый
таки: таки
мочь: могли могла
ближайший: ближайших ближайшей
животное: животных
смартфон: смартфон
крумена: крумена
крошка: крошки
отношение: отношения
насчитываться: насчитывается
отложены: отложены
клюв: клюва
неясный: неясно
родич: родичей
взрослый: взрослая
червец: червеца червецов
конец: концом
спутник: спутников
блоха: блох блоха
шанс: шансов
стебелек: стебелек
прикреплённый: прикреплены
эктопаразитами: эктопаразитами
скрученными: скрученными
лишиться: лишились
вшить: вшей
минимум: минимуму
древние: древние древних
картина: картина
забираться: забирается
отрезок: отрезков
свидетельство: свидетельство
хорион: хорион
дезавуировать: дезавуировали
вероятный: вероятно
микротомографа: микротомографа
пуховый: пуховое
подотряда: подотряда
воробьянинову: воробьянинову
успех: успеху
прицепившимися: прицепившимися
отдельный: отдельные
подотрядов: подотрядов
оперение: оперении
представитель: представителей представитель
изба: избах
учитывая: учитывая
мусор: мусор
движение: движение
расположенный: расположены
разделены: разделены
непростой: непросто
поскольку: поскольку
боку: боку
полноценный: полноценного
счищать: счищать
маломобильны: маломобильны
править: правило
переползать: переползают
исключение: исключениями
мускулатура: мускулатура
промежуток: промежутками
тело: телах тела тело
резюмировать: резюмировать
предположительно: предположительно
наводить: наводило
лишний: лишним
образованный: образована
крепления: крепления
источник: источник
изображение: изображения изображение
кровососания: кровососания
динозавровые: динозавровые
процесс: процессе
доставшихся: доставшихся
хомоптерная: хомоптерная
головной: головную
лобковый: лобковую
лазерный: лазерного
невнятными: невнятными
вместе: вместе
приводить: приводят
стилет: стилеты стилетами
выглядеть: выглядит
одном: одном
компьютерный: компьютерного
свести: свели
помойка: помойки
редчайший: редчайшие редчайшими
пристальный: пристальное
типичный: типично
дает: дает
ячейка: ячеек
обратить: обратите
паразитический: паразитической
стать: стали
изучена: изучена
разглядеть: разглядеть
колющий: колющие
нескольких: нескольких
поэтому: поэтому
неудивительный: неудивительно
связаны: связаны
лишённый: лишена
мелкозернистый: мелкозернистыми
больший: большие
поиск: поисках поиски
гнида: гнидами гниды
членик: членики
полученное: полученное
бытовой: бытовых
подотряду: подотряду
микроскульптуры: микроскульптуры
мелового: мелового
динозавр: динозавры динозавр динозавра динозавров динозаврах
оставить: оставить
балтийском: балтийском
ученые: ученые
китай: китая
пернатый: пернатые
захораниваются: захораниваются
автор: авторы авторов
статья: статьи статье
человек: человека человеке
отпечаток: отпечатками отпечатков отпечаток
ископаемое: ископаемом ископаемых ископаемые ископаемое
первый: первой первом первого первые
плотный: плотно
откладывающего: откладывающего
война: войны
приводящая: приводящая
счистить: счистить
остаток: остатки
лучшее: лучшем
боковое: боковое
храм: храмов
отличие: отличие
палеонтологический: палеонтологическую
представленный: представлены
бродяжки: бродяжки
стенка: стенки
любой: любом
выправлены: выправлены
возраст: возраста возраст
динозавровом: динозавровом
полагаться: полагаются
антенный: антенна
привычный: привычным
санитарный: санитарно
энанциорнисовое: энанциорнисовое
копошиться: копошились
хоботок: хоботка
птичка: птички
наружу: наружу
пятый: пятая пятое
щербаков: щербаков
отнести: отнесли
примитивный: примитивная
перьевые: перьевые
отсутствие: отсутствием
отражала: отражала
пухоедская: пухоедская
память: память
отдельность: отдельности
найденного: найденного
работа: работы
элемент: элементы
архименопенами: архименопенами
нынешний: нынешних
конфокального: конфокального
отчетливую: отчетливую
носить: носят
родня: родня
опавших: опавших
близкий: близким
никакой: никакого никаких
равный: равными
различие: различие
сравнительный: сравнительный
ученых: ученых
проблема: проблема
мезозойский: мезозойский
германий: германии
вид: вид виде видов
птичий: птичье птичьего
упасть: упасть
зверёк: зверьки
паразитирующие: паразитирующие
среди: среди
просвечивать: просвечивает просвечивают
перенос: перенос
группа: группа группе группы
рабочая: рабочих
дикий: дикой
слава: слава
крайний: крайне
донимать: донимали
оказаться: оказались
отмечены: отмечены
такой: таким
балтийского: балтийского
новый: новой
контакт: контакта
сторона: стороной
сунуться: сунься
турист: туристами
поместиться: поместиться
сидящих: сидящих
связано: связано
стрелок: стрелками
вошь: вши вошь вшами
быстрый: быстро
расселительными: расселительными
рисунок: рисунок
внешний: внешняя внешнюю
возможный: возможно
микроскульптуру: микроскульптуру
выискивающий: выискивающий
пялиться: пялится
убедительный: убедительной
предок: предками предка
цифра: цифрами
найдены: найдены
найден: найден
потрепанные: потрепанные
некоторые: некоторые
кой: кое
боковой: боковой
крестьянский: крестьянских
голова: голова
десяток: десятков
энанциорнисовой: энанциорнисовой
очередь: очередь
красный: красная
нечастый: нечасто
мезофтирусов: мезофтирусов
перьевых: перьевых
уровень: уровне
жившие: жившие
нижний: нижним
зрелище: зрелищем
приклеенными: приклеенными
растение: растения
забайкалье: забайкалья
энанциорнисовые: энанциорнисовые
счету: счету
период: периоде
находка: находка находки находок
стадо: стада
эоценовом: эоценовом
изображающая: изображающая
перьевой: перьевой
связанный: связан
пастись: пасутся
весьма: весьма
слипшихся: слипшихся
нетипично: нетипично
крючочков: крючочков
слой: слоем
должный: должен
меловом: меловом
ним: ним
изучение: изучение изучения
обозначены: обозначены
анализ: анализ
относиться: относятся
отложившие: отложившие
целый: целые
окаменелость: окаменелостей
густой: густо
площадь: площадь
полупереваренными: полупереваренными
шампунь: шампуни
летать: летали
микроструктура: микроструктура
живущий: живущих
человеческий: человеческих
карман: карман
эоцене: эоцене
смола: смолу
умирать: умирает
попадание: попадания
откладывать: откладывали
помощь: помощью
обсуждаемой: обсуждаемой
достоверный: достоверная
хозяин: хозяев хозяином
крупный: крупная крупным
рис: рис
объединять: объединяют
бродяжка: бродяжка
общий: общий
описать: описала описали
самый: самых самая
водоем: водоем
найти: найти
пухоедские: пухоедские
характерный: характерно
переслать: перешли
населены: населены
лёгкий: легко
перьевым: перьевым
ветер: ветер ветром
подозрение: подозрение
масштабный: масштабных
условие: условий
мелюзга: мелюзга
включая: включая
обнаружить: обнаружить
план: планом
найтись: нашлись
эволюционный: эволюционной
современный: современных современные современного
кстати: кстати
голубь: голуби
среда: среду
сквозь: сквозь
исследование: исследований
кусочек: кусочки
аппарат: аппарата
родство: родством
древнейший: древнейший древнейшая
плохой: плохо хуже
восковым: восковым
бывать: бывают
палец: пальцев
китайский: китайские
существование: существования
форма: формы
крошечный: крошечные
окруженный: окруженный
найденные: найденные
сделать: сделать
протяжение: протяжении
момент: момент
состояние: состоянии
уделять: уделяют
выявить: выявило
архименопонов: архименопонов
кусок: куски
какой: какую какого какие
чей: чьи
обитавшие: обитавшие
прикрепление: прикрепления прикрепление
энанциорнисовых: энанциорнисовых
сценарий: сценарий
назвать: назвали
