карнийском: карнийском
второстепенный: второстепенные
день: дня
филогенетического: филогенетического
откуда: откуда
пангее: пангее
наземный: наземных
сохранявшие: сохранявшие
определить: определить
открытый: открытую
ящеротазовых: ящеротазовых
предполагаемый: предполагаемому
найти: нашли
исследователь: исследователей исследователи
отложение: отложений отложениях
описанный: описана
сходство: сходству
вельш: вельш
отнесенный: отнесенный
частить: части
скорый: скорее
играть: играли
карнийского: карнийского
присутствие: присутствие
скелет: скелета
кость: кость
частичный: частичный
зрелый: зрелому
америка: америки
начать: начало
мбирезавр: мбирезавр
индийский: индийская
терапсиды: терапсиды
лавразийским: лавразийским
непреодолимый: непреодолимого
миллион: миллиона
верхний: верхняя
смочь: смогли
заднебоковой: заднебоковой
лямбда: лямбда
саламандра: саламандр
выемка: выемки
выступающий: выступающим
нескольких: нескольких
рептилия: рептилий рептилии
мкм: мкм
карнийский: карнийский
океан: океана
гондванские: гондванские
знаменитый: знаменитых
медленный: медленно
динозавр: динозавр динозавры динозавров динозаврам динозавру динозавром динозаврами
гондвана: гондвана
заполнить: заполнил
запад: западе
давным: давным
красавец: красавец
называть: называют
побережье: побережье
доминирующий: доминирующее
лепидусу: лепидусу
который: которое
аутапоморфии: аутапоморфии
тетис: тетис
заметный: заметно
голотипом: голотипом
гладкий: гладкой
пустынь: пустынь пустыни
обнаруженным: обнаруженным
исси: исси
каталожный: каталожным
номер: номером
фотография: фотографии
отпечаток: отпечаток
принадлежать: принадлежит принадлежат
зауроподоморфному: зауроподоморфному
суперконтинента: суперконтинента
место: место места
корги: корги
передвигаться: передвигались
влажность: влажности
наличие: наличию
задержаться: задержались
средний: среднем
шошоны: шошоны
статья: статьи
миниатюрный: миниатюрными
составлять: составляет
гондваны: гондваны
регион: регионов регионам
динозавроморфов: динозавроморфов
жила: жил
ящеротазовый: ящеротазовый
ранее: ранее
лисовиция: лисовиция
язык: языка
трехпалый: трехпалый
циркона: циркона
дополнительный: дополнительно
занимать: занимали
немалый: немало
включая: включая
строение: строение
отнести: отнесли
существовать: существовало
ранний: ранний ранней раннем
южноамериканский: южноамериканский
лавразии: лавразии
формация: формации
валикообразной: валикообразной
хищник: хищниками
событие: события
триасе: триасе
мыщелкам: мыщелкам
приблизительный: приблизительно
разнообразный: разнообразных
ихнотаксону: ихнотаксону
кристалл: кристаллов
исчигуаласто: исчигуаласто
ринхозавра: ринхозавра
сородич: сородичи
весить: весили
покрытый: покрыта
увеличение: увеличением
обсуждаемой: обсуждаемой
чей: чьи
получить: получил
радиус: радиусе
северный: северной северного
возникнуть: возникли
триасового: триасового
положение: положение положения
ближайший: ближайших
установить: установили
вероятный: вероятный
барьер: барьера
миро: миру
существами: существами
затруднять: затрудняет
соответствовать: соответствует
краткий: краткие
несомненный: несомненно
тип: типа
гондванского: гондванского
датировка: датировки
изящный: изящный
первый: первые первых
потомок: потомков
часть: частью
лавразию: лавразию
вместе: вместе
дистальной: дистальной
компенсатор: компенсатором
циркон: циркон
найден: найден
очередь: очередь
мбирезавру: мбирезавру
древнейший: древнейшим древнейшие древнейший древнейших древнейшими
история: истории
крупнейший: крупнейших
архозавроморфы: архозавроморфы
сложность: сложностями
эораптор: эораптор
южноафриканский: южноафриканский
экваториальный: экваториальных
местный: местных
независимый: независимо
анализ: анализа
животное: животные животных животному
заселение: заселению
вода: воды
типового: типового
крайний: крайнюю
внешний: внешняя
расселиться: расселились
сторона: стороны
перевод: переводе
зверь: зверей
черта: черте
поперечный: поперечном
результат: результатам
сайт: сайта
брать: брать
благоприятствовать: благоприятствовало
плоский: плоской
определив: определив
являться: является
обходя: обходя
влажный: влажным
эволюция: эволюции
дело: деле дело
точный: точную точного точное
фундаментальный: фундаментальная
свет: свете
формирование: формирования
масштабный: масштабных
вымереть: вымерли
ужасный: ужасные
гигантский: гигантскими
порода: породы
индеец: индейцев
головка: головка
основный: основном
признак: признаки
смерть: смерти
жаркий: жарких
долгий: долгое
длина: длину длина
плювиального: плювиального
родовой: родовое
больший: большей большим
экосистема: экосистемах экосистемы
известный: известных известно известны
зародиться: зародились
говорить: говорило
момент: момент
шошонов: шошонов
аргентинский: аргентинской
возникновение: возникновения
пример: примеру
картинка: картинку
костя: костей кости
багуалозавра: багуалозавра
либо: либо
новиковская: новиковская
американский: американских
исток: истоки
множество: множеством
видовой: видовое
уникальный: уникальной
указаны: указаны
отрезок: отрезков
подтверждать: подтверждают
считаться: считалось
возраст: возраст возраста возрасту
ямка: ямку
отсутствовать: отсутствуют
плоскополяризованном: плоскополяризованном
слово: словами
последний: последнее последнего
намекать: намекало
эораптору: эораптору
группа: группы группа
остаток: остатки остатками
согласный: согласно
лавразия: лавразия
размер: размерами
близкий: близкого близкий близкому
видный: видно
неглубокий: неглубокой
полушарие: полушарии полушария
описать: описала
приходиться: приходилось
попо: попо
похожий: похожим
предполагаться: предполагалось
элемент: элементы
поверхность: поверхности
завершение: завершения
называемая: называемая
суперконтинентами: суперконтинентами
северо: северо
срез: срезе срез
предельный: предельно
гиперодапедонтин: гиперодапедонтин
иной: иными
собака: собака
нога: ногах ноги
отсутствие: отсутствие
гондване: гондване
левый: левая левой
означать: означает
система: система
срок: сроки
летопись: летописи
древний: древний
показать: показал
след: следов следы
самый: самых
таранной: таранной
медиальный: медиальной
расселение: расселение
территория: территории
критический: критический
век: веке
роль: роли
соответствующий: соответствующих
мочь: могли
расти: рос
поляризованном: поляризованном
подсемейство: подсемейства
проникнуть: проникли
образец: образец образца
бедренный: бедренной
карбонат: карбонатом
силезаврида: силезаврида
вскоре: вскоре
возможный: возможно
анна: анна
род: род
определено: определено
перемещаться: перемещаться
предполагать: предполагает
вопрос: вопросом
карнийских: карнийских
представитель: представителем представители
молодой: моложе молодой
терапсид: терапсид
авэйтум: авэйтум
основание: основания
пояс: пояса
несмотря: несмотря
число: числе
вид: вид вида виде
метр: метров
килограммовый: килограммов
некрупный: некрупными
найдены: найдены
судя: судя
отснятые: отснятые
растительноядной: растительноядной
ученые: ученые
современный: современного
вроде: вроде
обнаружены: обнаружены
микритовым: микритовым
общий: общий
сформировались: сформировались
вдобавок: вдобавок
лавразийское: лавразийское
южный: южном южных
пробел: пробел
период: периоде периода
достаточный: достаточно
четвероногий: четвероногих
весь: всей
находка: находкам находки
отличие: отличие
определен: определен
ящер: ящеры
палеонтологический: палеонтологической
поздний: позднего позднее
старейший: старейшие старейшим
объяснить: объяснить
источник: источник
рисунок: рисунок
польза: пользу
таранная: таранная
невиданный: невиданных
типичный: типично
зауроподоморф: зауроподоморф
полагать: полагали
изолированный: изолированная
идентификация: идентификацию
кросс: кросс
одни: одни
сегодняшний: сегодняшний
родство: родству
фрагментированность: фрагментированность
высокий: высоких
столь: столь
алуокерия: алуокерия
существенно: существенно
примитивный: примитивным примитивных
авэйтума: авэйтума
новый: новый нового
вплоть: вплоть
повышение: повышению
родственник: родственников родственника
дистально: дистально
появиться: появились
позиция: позиции
эйджи: эйджи
название: название
сша: сша
найденная: найденная
широта: широтах
живший: живший
триасовом: триасовом
бывший: бывших
происхождение: происхождения происхождение
сопоставимый: сопоставимого сопоставимым
названный: названный
земля: земли землях
цинодонтов: цинодонтов
привести: привело
одновременный: одновременное
ринхозавров: ринхозавров
