сомнение: сомнением
морской: морская
пиритовые: пиритовые
вероятный: вероятно
эммонсасписом: эммонсасписом
успех: успехом
находиться: находились
стерженёк: стерженьками
исчезнувшие: исчезнувшие
напоминать: напоминает
меловом: меловом
правый: правый
растворяться: растворяется
друг: друг другу
личинка: личинок личинку личинка личинки
возможный: возможных
итог: итоге итог
вмещающей: вмещающей
принадлежность: принадлежности
блок: блоки блоками
унывать: унывают
сказать: скажем
беляк: беляк
состояние: состоянии
кембрийские: кембрийские
живой: живые
надламывая: надламывая
большеглазый: большеглазыми
иглокожие: иглокожие
дуга: дугами дуг дугах дуги
размножение: размножения
точный: точного
резкий: резко
нуучихту: нуучихту
кончаться: кончается
камера: камер камерами
разглядеть: разглядеть
панциря: панциря
сетчатка: сетчатку
конодонтов: конодонтов
лагерштетта: лагерштетта
новость: новости
усваиваемые: усваиваемые
твердой: твердой
плиния: плиния
приходиться: приходится
диагностический: диагностических
цефалохордовым: цефалохордовым
очертание: очертания
окруженное: окруженное
нуучихта: нуучихта
насколько: насколько
наибольший: наибольшей
хищник: хищнику
оси: оси
формация: формации
предстанет: предстанет
сохраниться: сохранился
образованный: образованы
смысл: смысле
отношение: отношении
круглоротые: круглоротые
угнаться: угнаться
пикайей: пикайей
молоко: молоко
связанный: связанные
включать: включал
начало: начале
конодонтофориды: конодонтофориды
разрушаться: разрушается
ракообразный: ракообразных
знаменитый: знаменитого
онтарио: онтарио
линяющим: линяющим
прорисовка: прорисовка
метамерное: метамерное
происхождение: происхождении
особь: особям
используя: используя
поименованы: поименованы
указана: указана
тело: телу тел тела телом
полупереваренной: полупереваренной
означать: означает
ланцетникам: ланцетникам
внимание: вниманием
осваиваемые: осваиваемые
раннекембрийский: раннекембрийский
стерженек: стерженек
отнюдь: отнюдь
эволюция: эволюции
переизбыток: переизбыток
рисунок: рисунок
мочь: можем
глотка: глотке
королевский: королевского
морфологический: морфологические
уплотнение: уплотнения
филогенетический: филогенетический
неорганический: неорганического
лагерштеттах: лагерштеттах
прежде: прежде
головохоботного: головохоботного
встречающихся: встречающихся
вообще: вообще
опозорилось: опозорилось
разрез: разрезу
состав: составу
двойной: двойным
академия: академии
работа: работе
случай: случаев случае
плохой: плохо хуже
второй: вторая
