ответ: ответ
посягательство: посягательств
выгодный: выгодно
бороздка: бороздками
война: войны
ученых: ученых
навеки: навеки
гребенка: гребенка
спустя: спустя
помощь: помощью
эгоистичный: эгоистичный
спариваться: спариваться спариваются
кот: котов
равный: равно
сенсорный: сенсорные
образец: образец
яйцо: яиц
вполне: вполне
создание: создания
позволять: позволяют
пола: поле полами
партнерами: партнерами
клопик: клопиков
оплодотворения: оплодотворения
жизнеспособный: жизнеспособной
отдельный: отдельными
ухажеров: ухажеров
искусство: искусства
другой: другом
адаптаций: адаптаций
вставить: вставить
защищать: защищают
подруга: подругам
жук: жуки жуков
относительный: относительно
способный: способен
копулировал: копулировал
пласт: пластами
минувший: минувших
некоторые: некоторых некоторым
подчас: подчас
многократный: многократных
погибать: погибает
демонстративный: демонстративно
храм: храмов
копуляций: копуляций
веселую: веселую
миро: мире
млн: млн
следовать: следовал
копулирующих: копулирующих
автор: авторы авторов
использовать: используют
рисунок: рисунок
палеоэнтомологи: палеоэнтомологи
возникать: возникали
бирмите: бирмите
захлестывало: захлестывало
средний: среднем средние средней средняя
путь: путях
верх: верхом
удалось: удалось
лишний: лишних
плавунец: плавунцы плавунцов
злодей: злодеи
бурмогерриса: бурмогерриса
примечательный: примечательно
плавающие: плавающие
максимум: максимум
роман: романы
смолистый: смолистыми
отнюдь: отнюдь
честь: чести
ученые: ученые
откидывать: откидывают
ископаемое: ископаемом
мелового: мелового
стрелок: стрелками
реконструкция: реконструкция
партнершу: партнершу
задаться: задаться
ряд: ряду
место: места
аппетит: аппетита
доставлять: доставляет
поединок: поединок
звучный: звучными
всплыть: всплыть
спаривающейся: спаривающейся
поэтому: поэтому
насилие: насилия насилию насилии
научить: научил
перекусывать: перекусывает
трехмерном: трехмерном
подсчитать: подсчитали
насиловать: насиловали
согласие: согласию согласия
ним: ним
существенно: существенно
уровень: уровнях
маркиз: маркиза
оборона: оборону
вымерший: вымершему
живущий: живущих
пронизывать: пронизывает
брат: брат брата
ограничена: ограничена
погребенные: погребенные
пара: парой
успевать: успевает
детство: детства
данный: дано
состояние: состоянии
хватательный: хватательной
задний: задних
фреска: фрески
говориться: говорится
распрямлять: распрямляют
непростой: непросто
перераставшую: перераставшую
дождем: дождем
словно: словно
красивый: красиво
стать: стали
обед: обед
разгул: разгул
опубликован: опубликован
ходить: ходить
убийца: убийцы
предпочтение: предпочтениях
коготок: коготок
обнаружить: обнаружили
дарвин: дарвин
превратиться: превратилась
древние: древних
исследование: исследованиям
завлекающие: завлекающие
одновременный: одновременно
нежелательный: нежелательных
миллион: миллионы
излишний: излишние
колышковидных: колышковидных
больший: больших
попадание: попадание
писать: писал
стоялый: стоял
жертва: жертвами
свой: свой
отнести: отнести
находиться: находятся
затопленном: затопленном
считаться: считалась
фото: фото
предыдущий: предыдущего
свидетельствовать: свидетельствуют
потеря: потерями
водный: водных водной
вынужденный: вынуждена
смешиваться: смешивалась
показаны: показаны
отчаянный: отчаянный отчаянные
стратегия: стратегию
территориальный: территориальным
групповой: групповую
ненужный: ненужных
родственный: родственному
воробьев: воробьев
сталкиваясь: сталкиваясь
период: периода
палеоэнтомологам: палеоэнтомологам
относиться: относятся
надсемейство: надсемейство
голень: голени голень голенях
выигрывать: выигрывает
причем: причем
образоваться: образоваться
граффити: граффити
насильник: насильники насильника
разрешать: разрешают
глаз: глаз
точный: точно
барабанить: барабанить
высокий: высока
устраивать: устраивали
межполового: межполового
толкунчики: толкунчики
утеха: утех
интимный: интимные
натека: натека
правда: правда
родитель: родители
скорость: скорость
протекать: протекала
отрезок: отрезков
александр: александр
сопротивляться: сопротивляться
пленкой: пленкой
колебание: колебания
проследить: проследить
противодействие: противодействия
партнерш: партнерш
бурмогеррисов: бурмогеррисов
далеком: далеком
спариться: спариться
занимать: занимает
рисковать: рискует
разобраться: разобраться
тремя: тремя
ежедневно: ежедневно
скрываться: скрывается
положительный: положительных
сравнение: сравнению
рыба: рыбы
новый: новые
пошлить: пошли
масштабный: масштабных
обсуждаемой: обсуждаемой
сопротивляющийся: сопротивляющуюся сопротивляющейся
белая: белыми
удерживать: удерживают
присасываться: присасываться
сохранившиеся: сохранившиеся
кусок: кусках кусок куске
черными: черными
янтарь: янтаре янтаря янтарь
меркнуть: меркнут
изнасилование: изнасилований
единственный: единственные
взгляд: взгляд
исключено: исключено
кутить: кучу
первый: первого
приспособление: приспособлениями
потомство: потомства
морской: морском морские морской
стихия: стихии
шантаж: шантажа
история: историю
спаривающихся: спаривающихся
поминутный: поминутно
бороться: борются
энтомолог: энтомолог
изучение: изучения
заросль: зарослях
катать: катать
обеспечено: обеспечено
художественный: художественная
статья: статьи
час: часа
заниматься: занимались
отмечены: отмечены
близкий: ближе
заметный: заметных
случайный: случайно
ограниченный: ограниченное
конец: конец концом
лежать: лежит
взгромоздившись: взгромоздившись
например: например
незваный: незваным
одну: одну
докинза: докинза
делать: делают
завладевать: завладевать
взгромоздиться: взгромоздиться
передний: передних передняя передней переднее
меловые: меловые
книга: книге
дело: дело
расти: рос
связь: связь
роува: роува
привлекая: привлекая
признак: признаков
наглый: наглых наглые
возможный: возможно
заманивать: заманивают
самец: самцы самцов самцом самцами самцу самец самцам самца
сперматозоид: сперматозоидов
поскольку: поскольку
принятый: принято
гонка: гонка
